Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Grimm,5.4,Russell Hornsby,Silas Weir Mitchell,Sasha Roiz,"Drama, Fantasy, Horror","A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is."
Insidious: The Last Key,6.7,Lin Shaye,Leigh Whannell,Angus Sampson,"Horror, Mystery, Thriller",A homicide detective discovers he is a descendant of hunters who fight supernatural forces.
Hellboy II: The Golden Army,7.3,Ron Perlman,Selma Blair,Doug Jones,"Action, Adventure, Fantasy","Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began."
The Strangers: Prey at Night,5.2,Christina Hendricks,Bailee Madison,Martin Henderson,Horror,"The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy and his team must save the world from the rebellious creatures."
Alien: Covenant,8.6,Michael Fassbender,Katherine Waterston,Billy Crudup,"Horror, Sci-Fi, Thriller",A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.
The Cleanse,5.7,Johnny Galecki,Anna Friel,Kyle Gallner,"Comedy, Drama, Fantasy","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
Mother!,6.8,Jennifer Lawrence,Javier Bardem,Ed Harris,"Drama, Horror, Mystery","A heartbroken man attends a spiritual retreat to cleanse himself and fix his broken life. There he meets a fellow lost soul, and together they discover that ""the cleanse"" releases more than everyday toxins...a lot more."
Split,6.9,James McAvoy,Anya Taylor-Joy,Haley Lu Richardson,"Horror, Thriller","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
Godzilla: King of Monsters,5.3,Millie Bobby Brown,Vera Farmiga,Sally Hawkins,"Action, Adventure, Fantasy",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Superstition,8.5,Morgana Van Peebles,Robinne Lee,Demetria McKinney,"Drama, Horror, Mystery",The next chapter in Warner Bros. Pictures' and Legendary Pictures' cinematic MonsterVerse: an epic action adventure that pits Godzilla against some of the most popular monsters in pop culture history.
Hannibal,6.7,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,"Crime, Drama, Horror","The supernatural drama centers around the Hastings family, owners of the only funeral home in the mysterious town of La Rochelle, Georgia. The family also acts as the keepers of the town's dark secrets and history."
Unsane,6.8,Claire Foy,Joshua Leonard,Jay Pharoah,"Horror, Thriller","A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear--but is it real or a product of her delusion?"
The Shining,8.4,Jack Nicholson,Shelley Duvall,Danny Lloyd,"Drama, Horror","A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
Stephanie,5.7,Shree Crooks,Frank Grillo,Anna Torv,"Drama, Fantasy, Horror","After a mysterious global crisis, a young girl is left alone to hide from a malevolent power that stalks her home. Her parents eventually return and the struggle begins to save their daughter."
Crimson Peak,6.5,Mia Wasikowska,Jessica Chastain,Tom Hiddleston,"Drama, Fantasy, Horror","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
The Nun,4.9,Taissa Farmiga,Bonnie Aarons,Demián Bichir,"Horror, Mystery, Thriller",A priest named Father Burke is sent to Romania to investigate the mysterious death of a nun.
Primal Rage,7.4,Casey Gagliardi,Andrew Joseph Montgomery,Jameson Pazak,Horror,"A newly reunited young couple's drive through the Pacific Northwest turns into a nightmare as they are forced to face nature, unsavory locals, and a monstrous creature, known to the Native Americans as Oh-Mah."
The Strain,6.3,David Bradley,Kevin Durand,Jonathan Hyde,"Drama, Horror, Thriller",A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.
The Ritual,8.2,Rafe Spall,Arsher Ali,Robert James-Collier,Horror,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them."
Penny Dreadful,5.7,Timothy Dalton,Eva Green,Reeve Carney,"Drama, Fantasy, Horror","Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein, and medium Vanessa Ives unite to combat supernatural threats in Victorian London."
Wildling,4.6,Liv Tyler,Brad Dourif,Bel Powley,"Drama, Fantasy, Horror",A blossoming teenager uncovers the dark secret behind her traumatic childhood.
Desolation,8.8,Toby Nichols,Jaimi Paige,Alyshia Ochse,"Drama, Horror, Thriller",A mother takes her son and her best friend on a trip into remote wilderness to scatter his father's ashes; they must confront their fears when a lone hiker begins following them.
Attack on Titan,6.3,Marina Inoue,Josh Grelle,Bryce Papenbrook,"Animation, Action, Adventure","After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
The Shallows,5.6,Blake Lively,Óscar Jaenada,Angelo Josue Lozano Corzo,"Drama, Horror, Thriller","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
The Cloverfield Paradox,9,Gugu Mbatha-Raw,David Oyelowo,Daniel Brühl,"Horror, Mystery, Sci-Fi","Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality."
The Twilight Zone,7.2,Robert McCord,Jay Overholts,Vaughn Taylor,"Fantasy, Horror, Mystery","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
Tremors,8.5,Kevin Bacon,Fred Ward,Finn Carter,"Comedy, Horror",Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one.
Psycho,7,Anthony Perkins,Janet Leigh,Vera Miles,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Upgrade,6.6,Logan Marshall-Green,Rosco Campbell,Richard Cawthorne,"Action, Comedy, Horror","Set in the near-future, technology controls nearly all aspects of life. But when Grey, a self-identified technophobe, has his world turned upside down, his only hope for revenge is an experimental computer chip implant called Stem."
The First Purge,6.2,Marisa Tomei,Lex Scott Davis,Luna Lauren Velez,"Action, Crime, Horror",The film will be a prequel that will focus on the events that lead up to the very first Purge event.
Life,7.5,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,"Horror, Sci-Fi, Thriller",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.
Slender Man,7.5,Joey King,Javier Botet,Julia Goldani Telles,Horror,"Slender Man tells the story of a tall, thin, horrifying figure with unnaturally long arms and a featureless face, who is reputed to be responsible for the haunting and disappearance of countless children and teens."
Veronica,4.9,Sandra Escacena,Bruna González,Claudia Placer,"Drama, Horror","Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates."
Bram Stoker's Dracula,4.2,Gary Oldman,Winona Ryder,Anthony Hopkins,Horror,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
The Conjuring,6,Patrick Wilson,Vera Farmiga,Ron Livingston,"Horror, Mystery, Thriller",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
Gehenna: Where Death Lives,7.6,Doug Jones,Lance Henriksen,Patrick Gorman,"Horror, Mystery, Thriller","A group visits Saipan to search for locations for their company's newest resort. As they find what they think is the perfect spot, they discover a hidden bunker on the property which they ..."
Jeepers Creepers III,7.2,Stan Shaw,Gabrielle Haugh,Brandon Smith,"Action, Horror, Mystery",»
