Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Tremors II: Aftershocks,7.8,Fred Ward,Chris Gartin,Helen Shaver,"Action, Comedy, Horror",»
Evil Dead II,7.9,Bruce Campbell,Sarah Berry,Dan Hicks,"Comedy, Horror",A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.
Freaks,5.3,Wallace Ford,Leila Hyams,Olga Baclanova,"Drama, Horror","Battling a life depression, Earl Bassett is offered a job as a mercenary to help a Mexican oil company with a Graboid epidemic that's killing more people each day. However, the humans aren't the only ones with a new battle plan.."
House of Wax,7,Chad Michael Murray,Paris Hilton,Elisha Cuthbert,"Horror, Mystery, Thriller",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
What the Waters Left Behind,5.4,Nicolás Onetti,German Baudino,Paula Brasca,Horror,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
Teeth,5.8,Jess Weixler,John Hensley,Josh Pais,"Comedy, Fantasy, Horror",A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.
The Paperboy,6.8,Matthew McConaughey,Nicole Kidman,John Cusack,"Crime, Drama, Horror","The plot revolves around a group of young people that take a trip to the ruins in order to film a documentary about Epecuen. Ignoring the warnings, and after a brief tour, they get stranded..."
Dominion,6,Tom Wisdom,Roxanne McKee,Luke Allen-Gale,"Action, Drama, Fantasy",»
Demon House,6,Adam Ahlbrandt,Zak Bagans,Matthew Mourgides,"Horror, Thriller","Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence."
Tragedy Girls,6.6,Brianna Hildebrand,Alexandra Shipp,Jack Quaid,"Comedy, Crime, Horror",A reporter returns to his Florida home-town to investigate a case involving a death row inmate.
Silent Hill,5.9,Radha Mitchell,Laurie Holden,Sean Bean,Horror,Follows the perilous journey of a rebellious young soldier who discovers he's the unlikely savior of humanity.
Abraham Lincoln: Vampire Hunter,6.7,Benjamin Walker,Rufus Sewell,Dominic Cooper,"Action, Fantasy, Horror",Paranormal investigator Zak Bagans documents the most authenticated case of possession in American history.
Christine,5.5,Keith Gordon,John Stockwell,Alexandra Paul,Horror,"A twist on the slasher genre, following two death-obsessed teenage girls who use their online show about real-life tragedies to send their small mid-western town into a frenzy, and cement their legacy as modern horror legends."
Vampire Academy,2.9,Zoey Deutch,Lucy Fry,Danila Kozlovsky,"Action, Comedy, Fantasy","A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Jaws: The Revenge,5.9,Lorraine Gary,Lance Guest,Mario Van Peebles,"Adventure, Horror, Thriller","Abraham Lincoln, the 16th President of the United States, discovers vampires are planning to take over the United States. He makes it his mission to eliminate them."
Dismissed,6,Kent Osborne,Dylan Sprouse,Rae Gray,"Horror, Thriller",A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.
The Last House on the Left,8,Sandra Peabody,Lucy Grantham,David Hess,"Horror, Thriller","Rose Hathaway is a Dhampir, half human-half vampire, a guardian of the Moroi, peaceful, mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty, immortal Vampires, the Strigoi."
The Addams Family,5.9,Carolyn Jones,Jackie Coogan,Ted Cassidy,"Comedy, Family, Horror",Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.
Final Destination 5,7.4,Nicholas D'Agosto,Emma Bell,Arlen Escarpeta,"Fantasy, Horror, Mystery","An idealistic, straight-edge teacher is drawn down a horrid rabbit hole by an honors student when he gives him a B+ on a paper."
Eraserhead,4.4,Jack Nance,Charlotte Stewart,Allen Joseph,Horror,"Two teenage girls head to a rock concert for one's birthday. While trying to score marijuana in the city, they are kidnapped and brutalized by a gang of psychotic convicts."
Keep Watching,6.8,Bella Thorne,Chandler Riggs,Ioan Gruffudd,"Horror, Thriller",The misadventures of a blissfully macabre but extremely loving family.
Return to Oz,4.7,Fairuza Balk,Nicol Williamson,Jean Marsh,"Adventure, Family, Fantasy",Survivors of a suspension-bridge collapse learn there's no way you can cheat Death.
Anaconda,6.6,Jon Voight,Jennifer Lopez,Eric Stoltz,"Action, Adventure, Horror","Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child."
A Nightmare on Elm Street 3: Dream Warriors,6.5,Heather Langenkamp,Robert Englund,Craig Wasson,"Action, Fantasy, Horror","A family become imprisoned in their home by intruders, who force them to play a life-and-death game, where the mysterious rules become clear as the night unfolds."
Slither,7.9,Nathan Fillion,Elizabeth Banks,Michael Rooker,"Comedy, Horror, Sci-Fi","Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful."
The Munsters,8.1,Al Lewis,Yvonne De Carlo,Butch Patrick,"Comedy, Family, Fantasy","A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake."
What Ever Happened to Baby Jane?,8.3,Bette Davis,Joan Crawford,Victor Buono,"Drama, Horror, Thriller",A psychiatrist familiar with knife-wielding dream demon Freddy Krueger helps teens at a mental hospital battle the killer who is invading their dreams.
Constantine: City of Demons,4.4,Damian O'Hare,Laura Bailey,Emily O'Brien,"Animation, Fantasy, Horror","A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters."
Jason X,6.9,Kane Hodder,Lexa Doig,Jeff Geddis,"Action, Horror, Sci-Fi","A family of friendly monsters have misadventures, never quite understanding why people react to them so strangely."
Drag Me to Hell,6.6,Alison Lohman,Justin Long,Ruth Livier,"Horror, Thriller","A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point."
Ghost Ship,5.5,Julianna Margulies,Gabriel Byrne,Ron Eldard,Horror,"A salvage crew that discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea soon notices, as they prepare to tow it back to land, that strange things happen."
Tusk,5.4,Justin Long,Michael Parks,Haley Joel Osment,"Comedy, Drama, Horror",A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.
Species,5.8,Natasha Henstridge,Michael Madsen,Ben Kingsley,"Action, Horror, Sci-Fi",A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.
The Devil's Rejects,6.9,Sid Haig,Sheri Moon Zombie,Bill Moseley,"Crime, Horror","The murderous, backwoods Firefly family take to the road to escape a vengeful police force which is not afraid of being as ruthless as their target."
"As Above, So Below",6.2,Perdita Weeks,Ben Feldman,Edwin Hodge,"Horror, Mystery, Thriller","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead."
Monster Family,4.6,Emily Watson,Jason Isaacs,Nick Frost,"Animation, Comedy, Family","Despite the title, the Wishbone family are far from happy. In an attempt to reconnect as a family, Mum and Emma plan a fun night out. However, her plan backfires when an evil witch curses them, and they're all turned into Monsters."
Goosebumps,7.8,Kathryn Short,Cody Jones,Scott Wickware,"Comedy, Family, Fantasy",A series of horror anthology stories based on the children's books by R.L. Stine.
The Crazies,6.5,Radha Mitchell,Timothy Olyphant,Danielle Panabaker,"Horror, Thriller",About the inhabitants of a small Iowa town suddenly plagued by insanity and then death after a mysterious toxin contaminates their water supply.
Would You Rather,5.7,Brittany Snow,June Squibb,Jeffrey Combs,Horror,"Desperate to help her ailing brother, a young woman unknowingly agrees to compete in a deadly game of ""Would You Rather,"" hosted by a sadistic aristocrat."
World War Z 2,8.3,Brad Pitt,Raine Pare-Coull,Jodie Resther,"Action, Horror, Sci-Fi",Plot is unknown.
Are You Afraid of the Dark?,6.3,Daniel DeSanto,Samara Weaving,Steven Brand,"Drama, Family, Fantasy","A group of kids get together in the woods, and tell ghost stories."
Mayhem,7.1,Steven Yeun,Cole Hauser,Vin Diesel,"Action, Horror",A virus spreads through an office complex causing white collar workers to act out their worst impulses.
Pitch Black,5.6,Radha Mitchell,Matthew Bohrer,Courtney Halverson,"Horror, Sci-Fi","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur."
Unfriended,5,Heather Sossaman,Callie Hernandez,Corbin Reid,"Drama, Horror, Mystery","A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend."
Blair Witch,6.2,James Allen McCune,Joel Edgerton,Ulrich Thomsen,"Horror, Thriller","After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch."
The Thing,5.4,Mary Elizabeth Winstead,Tati Gabrielle,Michelle Gomez,"Horror, Mystery, Sci-Fi","At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson."
Chilling Adventures of Sabrina,5.6,Lucy Davis,Brytni Sarpy,Mason Dye,"Fantasy, Horror, Thriller","A dark coming-of-age tale that follows Sabrina, as she wrestles to reconcile her dual nature as a half-witch, half-mortal while fighting evil forces."
Truth or Dare,5.7,Cassandra Scerbo,Donald Sutherland,Paul Reubens,Horror,"Eight college friends head to a ""Haunted Rental"" for Halloween. But when they replay the game that made the house infamous, they awaken an evil spirit intent on stealing their souls."
Buffy the Vampire Slayer,6.3,Kristy Swanson,Owen Atlas,Adam Scott,"Action, Comedy, Fantasy",A flighty teenage girl learns that she is her generation's destined battler of vampires.
Little Evil,4.7,Evangeline Lilly,Zulay Henao,Alex Henderson,"Comedy, Horror","Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist."
Meet the Blacks,5.8,Mike Epps,Will Kemp,Honor Kneafsey,"Comedy, Horror","As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours."
Slumber,5.6,Maggie Q,Aaron Poole,Kenneth Welsh,Horror,A sleep doctor tries to protect a family from a demon that feeds on people in their nightmares.
The Void,5.2,Steven Kostanski,Rider Strong,James DeBello,"Horror, Mystery, Sci-Fi","Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures."
Cabin Fever,6.3,Jordan Ladd,Rosamund Pike,Dwayne Johnson,Horror,"A group of 5 college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals."
Doom,6.5,Karl Urban,Vince Vaughn,Vincent D'Onofrio,"Action, Adventure, Horror",Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.
The Cell,6.8,Jennifer Lopez,Tim Roth,Michael Pitt,"Horror, Sci-Fi, Thriller","An FBI agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim."
Spawn,6.4,Jamie Foxx,Mark Ghanimé,Jordan Hayes,"Horror, Thriller",The new Spawn movie will be a R-rated supernatural horror film.
Funny Games,4.9,Naomi Watts,Mark Duplass,Desiree Akhavan,"Crime, Drama, Horror",Two psychopathic young men take a family hostage in their cabin.
Helix,6.6,Kyra Zagorsky,Olivia Thirlby,Max Minghella,"Horror, Mystery, Sci-Fi",A team of scientists are thrust into a potentially life-or-death situation when they arrive in the Arctic to secretly investigate what could be an outbreak of a strange disease in a secluded international research facility.
Creep 2,5.7,Karan Soni,Michelle Pfeiffer,Katharine Towne,"Drama, Horror, Thriller","A video artist looking for work drives to a remote house in the forest to meet a man claiming to be a serial killer. But after agreeing to spend the day with him, she soon realizes that she made a deadly mistake."
The Darkest Hour,7.4,Emile Hirsch,David Morrissey,AnnaSophia Robb,"Action, Adventure, Horror","In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply."
What Lies Beneath,6.8,Harrison Ford,Sam Neill,Margit Carstensen,"Drama, Fantasy, Horror",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.
The Reaping,8,Hilary Swank,Johnny Depp,Heather Graham,"Horror, Thriller","A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues."
Possession,7.1,Isabelle Adjani,Brina Palencia,Austin Tindle,"Drama, Horror",A woman starts exhibiting increasingly disturbing behavior after asking her husband for a divorce. Suspicions of infidelity soon give way to something much more sinister.
From Hell,4.8,Allen Hughes,Zach Appelman,Tyler Barnhardt,"Horror, Mystery, Thriller","In Victorian Era London, a troubled clairvoyant police detective investigates the murders by Jack The Ripper."
Tokyo Ghoul,3.8,Natsuki Hanae,Trini Alvarado,Peter Dobson,"Animation, Action, Drama","Ghouls are terrifying creatures which feed on human flesh. When Kaneki is almost killed in an attack, he transforms into a half-ghoul, half-human hybrid and is forced to adapt to their lifestyle in order to survive."
The Passage,6.4,Karen Valero,Tania Raymonde,Scott Eastwood,"Action, Adventure, Drama","When a botched U.S. government experiment turns a group of death row inmates into highly infectious vampires, an orphan girl might be the only person able to stop the ensuing crisis."
The Frighteners,6.3,Michael J. Fox,Ving Rhames,David Hasselhoff,"Comedy, Fantasy, Horror","After a tragic car accident kills his wife, a man discovers he can communicate with the dead to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead."
Texas Chainsaw 3D,5.8,Alexandra Daddario,Andrea Roth,Juan Fernández,"Horror, Thriller",A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.
Piranha 3DD,4.6,Danielle Panabaker,Jonathan Tiersten,Karen Fields,"Comedy, Horror","After the events at Lake Victoria, the pre-historic school of blood-thirsty piranhas make their way into a newly opened waterpark."
The Collector,5.6,Josh Stewart,Richard Crenna,Amanda Pays,"Horror, Thriller","Desperate to repay his debt to his ex-wife, an ex-con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property, and rigged it with a series of deadly traps."
Sleepaway Camp,5.9,Felissa Rose,Anne Heche,Julianne Moore,Horror,"Angela Baker, a traumatized and very shy young girl, is sent to summer camp with her cousin. Shortly after her arrival, anyone with sinister or less than honorable intentions gets their comeuppance."
Leviathan,6.4,Peter Weller,Ray Wise,Nicki Aycox,"Adventure, Horror, Mystery",An American deep-sea mining colony stumbles upon a sunken Soviet vessel hiding a horrific secret.
Psycho,5.2,Vince Vaughn,Laurie Holden,Chloe Rose,"Horror, Mystery, Thriller","A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own."
Jeepers Creepers II,5.1,Jonathan Breck,Mario Casas,Carmen Machi,Horror,"Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy."
A Nightmare on Elm Street,5.2,Jackie Earle Haley,Rooney Mara,Kyle Gallner,"Crime, Drama, Horror","The spectre of a dead child rapist haunts the children of the parents who murdered him, stalking and killing them in their dreams."
Ouija: Origin of Evil,6.1,Elizabeth Reaser,Lulu Wilson,Annalise Basso,"Horror, Thriller","In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business, inviting an evil presence into their home."
Wayward Sisters,4.5,Kim Rhodes,Clark Backo,Briana Buckmaster,"Action, Fantasy, Horror",Jody Mills helps train young women to be hunters.
Escape Room,8,Evan Williams,Annabelle Stephenson,Elisabeth Hower,"Horror, Thriller",Four friends test their intelligence in a game that takes a dark turn.
Tokyo Ghoul: re,6,Daman Mills,Madeleine Morris,Austin Tindle,"Animation, Action, Drama","Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem ..."
The Boy,6.2,Lauren Cohan,Rupert Evans,James Russell,"Horror, Mystery, Thriller",»
Final Destination 2,5.4,A.J. Cook,Ali Larter,Tony Todd,"Fantasy, Horror, Mystery","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."
Tremors 3: Back to Perfection,6.4,Michael Gross,Shawn Christian,Susan Chuang,"Action, Comedy, Horror","When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next."
Fright Night,5.3,Anton Yelchin,Colin Farrell,David Tennant,"Action, Comedy, Horror","The now famous Burt Gummer returns to his hometown of Perfection, Nevada for the first time in years, but the deadliest Graboid evolution yet forces him to save the town he swore to protect."
Queen of the Damned,6.2,Aaliyah,Stuart Townsend,Marguerite Moreau,"Drama, Fantasy, Horror","After a new neighbor moved into the house next door, Charley discovers that he is an ancient vampire and goes in search for the help of Peter Vincent, a famous ""vampire killer"" to save his neighborhood from the creature."
Devil,7.5,Chris Messina,Caroline Dhavernas,Bokeem Woodbine,"Horror, Mystery, Thriller",The vampire Lestat becomes a rock star whose music wakes up the queen of all vampires.
[Rec],6.1,Paco Plaza,Manuela Velasco,Ferran Terraza,"Horror, Mystery, Thriller",A group of people are trapped in an elevator and the Devil is mysteriously amongst them.
Friday the 13th Part 2,5.7,Betsy Palmer,Amy Steel,John Furey,"Horror, Mystery, Thriller",A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
Club Dread,6.7,Jay Chandrasekhar,Bill Paxton,Kevin Heffernan,"Comedy, Horror, Mystery","Mrs. Voorhees is dead, and Camp Crystal Lake is shut down, but a camp next to the infamous place is stalked by an unknown assailant."
Tremors,7.1,Gladise Jiminez,Marcia Strassman,Lela Lee,"Action, Comedy, Horror",When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort--a hedonistic island paradise for swingers--it's up to the club's staff to stop the violence...or at least hide it.
The Returned,4.7,Agnes Bruckner,India Ennenga,Sandrine Holt,"Drama, Fantasy, Horror","Perfection Valley, Nevada is a quaint little town. The inhabitants live peaceful, tranquil lives. Most of the time. Perfection is home to the Graboid, El Blanco. El Blanco is a thirty-foot ..."
Leprechaun,5.7,Warwick Davis,Jennifer Aniston,Ken Olandt,"Comedy, Fantasy, Horror",»
Lake Placid,7.4,Bridget Fonda,Bill Pullman,Oliver Platt,"Action, Comedy, Horror",A small town's residents are stunned when recently deceased locals begin returning from the dead. What should be a miracle soon becomes a nightmare.
Invasion of the Body Snatchers,6.1,Donald Sutherland,Brooke Adams,Jeff Goldblum,"Horror, Sci-Fi","An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold."
Killer Klowns from Outer Space,4.3,Grant Cramer,Suzanne Snyder,John Allen Nelson,"Comedy, Horror, Sci-Fi","Three people attempt to stop a gigantic crocodile, who is terrorizing residents in Black Lake, Maine."
The Bye Bye Man,8,Douglas Smith,Lucien Laviscount,Cressida Bonas,"Horror, Thriller","In San Francisco, a group of people discover the human race is being replaced one by one, with clones devoid of emotion."
Dawn of the Dead,6.2,David Emge,Ken Foree,Scott H. Reiniger,"Horror, Thriller",Aliens who look like clowns come from outer space and terrorize a small town.
Deliver Us from Evil,5.5,Eric Bana,Edgar Ramírez,Olivia Munn,"Action, Biography, Crime",Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.
Wrong Turn 2: Dead End,6.8,Erica Leerhsen,Henry Rollins,Texas Battle,"Horror, Thriller","Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall."
Pandorum,9.8,Dennis Quaid,Ben Foster,Cam Gigandet,"Action, Horror, Mystery","New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city."
The Last of Us,5.9,Bruce Straley,Troy Baker,Ashley Johnson,"Action, Adventure, Drama",A group of reality show contestants find themselves fighting for their survival against a family of hideously deformed inbred cannibals who plan to ruthlessly butcher them all.
King Kong,8,Jeff Bridges,Charles Grodin,Jessica Lange,"Adventure, Horror",A pair of crew members aboard a spaceship wake up with no knowledge of their mission or their identities.
Dark Shadows,6,Grayson Hall,Alexandra Isles,Nancy Barrett,"Drama, Fantasy, Horror","In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States."
Circle,5.9,Mario Miscione,Allegra Masters,Aimee McKay,"Drama, Horror, Mystery",A petroleum exploration expedition comes to an isolated island and encounters a colossal giant gorilla.
The Wraith,8.1,Charlie Sheen,Nick Cassavetes,Sherilyn Fenn,"Action, Horror, Romance","The rich Collins family of Collinsport, Maine is tormented by strange occurrences."
Mike Tyson Mysteries,5,Norm MacDonald,Rachel Ramras,Jim Rash,"Animation, Adventure, Comedy","Held captive and faced with their imminent executions, fifty strangers are forced to choose the one person among them who deserves to live."
Scooby-Doo 2: Monsters Unleashed,5.8,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,"Adventure, Comedy, Family",A mysterious figure suddenly appears to challenge a gang of motorhead thugs.
Final Destination 3,7.8,Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche,"Fantasy, Horror, Mystery","Macabre comedy about retired boxing champion Mike Tyson, his brainy adopted Asian-American daughter, a friendly but wimpy gay gentleman ghost and a cursed perverse mean-spirited talking pigeon who solve weird mysteries together."
Being Human,7.3,Russell Tovey,Aidan Turner,Sinead Keenan,"Comedy, Drama, Fantasy","The Mystery Inc. gang must save Coolsville from an attack of past unmasked monsters brought to life by an evil masked figure trying to ""unmask"" the gang."
Angel Heart,4.8,Mickey Rourke,Robert De Niro,Lisa Bonet,"Horror, Mystery, Thriller","A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from Death itself, which seeks out those who escaped their fate."
Flight 7500,7.8,Leslie Bibb,Ryan Kwanten,Amy Smart,"Horror, Mystery, Sci-Fi","A werewolf, a vampire, and a ghost try to live together and get along."
The Outer Limits,6.8,Eric Schneider,Garvin Cross,Larry Musser,"Drama, Fantasy, Horror",A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.
The Witches,6.6,Anjelica Huston,Mai Zetterling,Jasen Fisher,"Adventure, Comedy, Family","Flight 7500 departs Los Angeles International Airport bound for Tokyo. As the overnight flight makes its way over the Pacific Ocean during its ten-hour course, the passengers encounter what appears to be a supernatural force in the cabin."
The Final Girls,4.9,Taissa Farmiga,Malin Akerman,Adam Devine,"Comedy, Horror",A modern revival of the classic science fiction horror anthology show
Poltergeist,4.8,Sam Rockwell,Rosemarie DeWitt,Kennedi Clements,"Horror, Thriller","(1963). Episodes often have twist-endings and involve aliens. Sometimes, a story from one episode continues in a later episode."
Pet Sematary II,4.9,Edward Furlong,Anthony Edwards,Clancy Brown,"Fantasy, Horror","A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse."
The Haunted Mansion,6.3,Eddie Murphy,Marsha Thomason,Jennifer Tilly,"Comedy, Family, Fantasy","A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer."
Paranormal Activity,6.3,Katie Featherston,Micah Sloat,Mark Fredrichs,"Horror, Mystery, Thriller",A family whose suburban home is haunted by evil forces must come together to rescue their youngest daughter after the apparitions take her captive.
Berlin Syndrome,6.6,Teresa Palmer,Max Riemelt,Matthias Habich,"Drama, Horror, Mystery",The ancient Indian cemetery with the power to raise the dead returns and influences the lives of new residents.
Child's Play,7.8,Catherine Hicks,Chris Sarandon,Alex Vincent,"Horror, Thriller","A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected."
I Saw the Devil,5.7,Byung-Hun Lee,Min-sik Choi,Joon-Hyuk Lee,"Action, Crime, Drama","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence."
I Spit on Your Grave,5.4,Camille Keaton,Eron Tabor,Richard Pace,"Horror, Thriller","A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave."
Blood Creek,5.4,Henry Cavill,Dominic Purcell,Emma Booth,Horror,"A single mother gives her son a much sought-after doll for his birthday, only to discover that it is possessed by the soul of a serial killer."
The Recall,4.7,Wesley Snipes,RJ Mitte,Jedidiah Goodacre,"Horror, Sci-Fi, Thriller","When five friends vacation at a remote lake house they expect nothing less than a good time, unaware that planet Earth is under an alien invasion and mass-abduction."
Wolf Creek,6.3,Nathan Phillips,Cassandra Magrath,Kestie Morassi,"Horror, Thriller",Three backpackers stranded in the Australian outback are plunged in a hellish nightmare of insufferable torture by a sadistic psychopathic local.
Horns,6.5,Daniel Radcliffe,Juno Temple,Max Minghella,"Drama, Fantasy, Horror","In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples."
Splice,5.8,Adrien Brody,Sarah Polley,Delphine Chanéac,"Drama, Horror, Sci-Fi",Genetic engineers Clive Nicoli and Elsa Kast hope to achieve fame by successfully splicing together the DNA of different animals to create new hybrid animals for medical use.
Children of the Corn,5.6,Peter Horton,Linda Hamilton,R.G. Armstrong,"Horror, Thriller",A young couple is trapped in a remote town where a dangerous religious cult of children believe everyone over the age of 18 must be killed.
Dead Alive,7.5,Timothy Balme,Diana Peñalver,Elizabeth Moody,"Comedy, Horror","A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors."
Priest,5.7,Paul Bettany,Cam Gigandet,Maggie Q,"Action, Fantasy, Horror",A priest disobeys church law to track down the vampires who kidnapped his niece.
1408,6.8,John Cusack,Samuel L. Jackson,Mary McCormack,"Drama, Horror","A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror."
Ravenous,6,Marc-André Grondin,Monia Chokri,Charlotte St-Martin,"Drama, Horror","In a small, remote village in upstate Quebec, things have changed. Locals are not the same anymore - their bodies are breaking down and they have turned against their loved ones. A handful of survivors goes hiding into the woods, looking for others like them."
The Human Centipede III (Final Sequence),2.8,Dieter Laser,Laurence R. Harvey,Eric Roberts,"Comedy, Horror","Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems."
The Forest,4.8,Natalie Dormer,Eoin Macken,Stephanie Vogt,"Horror, Mystery, Thriller","A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror."
The Carmilla Movie,7.8,Elise Bauman,Natasha Negovanlis,Annie Briggs,"Comedy, Horror, Romance",It has been five years since Laura and Carmilla vanquished the apocalypse and Carmilla became a bona fide mortal human. They have settled in to a cozy apartment in downtown Toronto; Laura ...
The Crucifixion,5,Sophie Cookson,Corneliu Ulici,Ada Lupu,"Horror, Mystery, Thriller",»
The Woman in Black,6.4,Daniel Radcliffe,Janet McTeer,Ciarán Hinds,"Drama, Fantasy, Horror",When Nicole comes in contact with Father Anton (Corneliu Ulici) more and more inexplicable events occur. The pair begin to believe that the priest lost the battle with a demon.
The Haunting,4.9,Liam Neeson,Catherine Zeta-Jones,Owen Wilson,"Fantasy, Horror, Mystery",A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.
Cell,4.3,John Cusack,Samuel L. Jackson,Isabelle Fuhrman,"Action, Drama, Horror","When Eleanor, Theo, and Luke decide to take part in a sleep study at a huge mansion they get more than they bargained for when Dr. Marrow tells them of the house's ghostly past."
Salem's Lot,6.8,David Soul,James Mason,Lance Kerwin,Horror,"When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England."
The Omen,7.6,Gregory Peck,Lee Remick,Harvey Stephens,Horror,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.
