name,link,rating
Lai Kee Soya,/Restaurant_Review-g298298-d9884059-Reviews-Lai_Kee_Soya-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Simpang Tiga (Medan-Ipoh),/Restaurant_Review-g298298-d5849955-Reviews-Restoran_Simpang_Tiga_Medan_Ipoh-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restoran M Salim,/Restaurant_Review-g298298-d1161449-Reviews-Restoran_M_Salim-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Marianis Italian Restaurant,/Restaurant_Review-g298298-d11491589-Reviews-Marianis_Italian_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Kedai Makanan Different Taste,/Restaurant_Review-g298298-d8727473-Reviews-Kedai_Makanan_Different_Taste-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Nasi Ayam Pak Kong,/Restaurant_Review-g298298-d11045491-Reviews-Restoran_Nasi_Ayam_Pak_Kong-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Hakka Mee Restaurant Paris (Yin Yau Kui),/Restaurant_Review-g298298-d2487099-Reviews-Hakka_Mee_Restaurant_Paris_Yin_Yau_Kui-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restoran Mee Rebus Ramli,/Restaurant_Review-g298298-d5583538-Reviews-Restoran_Mee_Rebus_Ramli-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Onn Kee Restaurant (Tauge Ayam Kue Tiau),/Restaurant_Review-g298298-d3176071-Reviews-Onn_Kee_Restaurant_Tauge_Ayam_Kue_Tiau-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Restoran Chooi Yue Dim Sum,/Restaurant_Review-g298298-d7342312-Reviews-Restoran_Chooi_Yue_Dim_Sum-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Restoran Yoke Fook Moon,/Restaurant_Review-g298298-d4153778-Reviews-Restoran_Yoke_Fook_Moon-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Curry Keng,/Restaurant_Review-g298298-d12034946-Reviews-Curry_Keng-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Mustard Sandwich House,/Restaurant_Review-g298298-d10516646-Reviews-Mustard_Sandwich_House-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Everyday Lifeshop Cafe,/Restaurant_Review-g298298-d10236054-Reviews-Everyday_Lifeshop_Cafe-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
David's Diner,/Restaurant_Review-g298298-d11045403-Reviews-David_s_Diner-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Restoran Moon De Moon,/Restaurant_Review-g298298-d11801872-Reviews-Restoran_Moon_De_Moon-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Medan Selera Dato Sagor,/Restaurant_Review-g298298-d7006947-Reviews-Medan_Selera_Dato_Sagor-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Maria's Steak Cafe,/Restaurant_Review-g298298-d7274214-Reviews-Maria_s_Steak_Cafe-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Spade's Burger Ipoh,/Restaurant_Review-g298298-d13237593-Reviews-Spade_s_Burger_Ipoh-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
de Classroom,/Restaurant_Review-g298298-d10483023-Reviews-De_Classroom-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Unique Seafood Ipoh,/Restaurant_Review-g298298-d7915528-Reviews-Unique_Seafood_Ipoh-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Foods Project,/Restaurant_Review-g298298-d10720394-Reviews-Foods_Project-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Healy Mac's Irish Bar and Restaurant,/Restaurant_Review-g298298-d4341261-Reviews-Healy_Mac_s_Irish_Bar_and_Restaurant-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Aun Kheng Lim Salted Chicken,/Restaurant_Review-g298298-d7598667-Reviews-Aun_Kheng_Lim_Salted_Chicken-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Burps & Giggles,/Restaurant_Review-g298298-d3628405-Reviews-Burps_Giggles-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
"Pusing Public Seafood Restaurant, Seafood",/Restaurant_Review-g298298-d2262569-Reviews-Pusing_Public_Seafood_Restaurant_Seafood-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
