Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Ghostland,6.8,Crystal Reed,Mylène Farmer,Anastasia Phillips,Horror,"The story follows a mother of two who inherits a home from her aunt. On the first night in the new home, she is confronted with murderous intruders and fights for her daughters' lives. ..."
Van Helsing,5.2,Jonathan Scarfe,Vincent Gale,Rukiya Bernard,"Action, Drama, Fantasy",»
The Cloverfield Paradox,7.3,Gugu Mbatha-Raw,David Oyelowo,Daniel Brühl,"Horror, Mystery, Sci-Fi","Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world."
Ghost Stories,6.2,Andy Nyman,Andy Nyman,Martin Freeman,"Drama, Horror","Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality."
Unsane,6.2,Claire Foy,Joshua Leonard,Jay Pharoah,"Horror, Thriller",Arch skeptic Professor Phillip Goodman embarks upon a terror-filled quest when he stumbles across a long-lost file containing details of three cases of inexplicable 'hauntings'.
A Serbian Film,5.9,Srdjan 'Zika' Todorovic,Sergej Trifunovic,Jelena Gavrilovic,"Horror, Mystery, Thriller","A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear--but is it real or a product of her delusion?"
Scream: The TV Series,5.7,Bex Taylor-Klaus,John Karna,Carlson Young,"Crime, Drama, Horror","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
It Comes at Night,6.9,Joel Edgerton,Christopher Abbott,Carmen Ejogo,"Horror, Mystery",A serialized/anthology series that follows a group of teenagers being targeted by a masked serial killer.
Veronica,7.6,Sandra Escacena,Bruna González,Claudia Placer,"Drama, Horror","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge."
Blade: Trinity,5.7,Wesley Snipes,Kris Kristofferson,Parker Posey,"Action, Adventure, Horror","Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates."
Stephanie,6.3,Shree Crooks,Frank Grillo,Anna Torv,"Drama, Fantasy, Horror","Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula."
It,6.7,Tim Reid,Annette O'Toole,Harry Anderson,"Drama, Horror, Mystery","After a mysterious global crisis, a young girl is left alone to hide from a malevolent power that stalks her home. Her parents eventually return and the struggle begins to save their daughter."
What We Do in the Shadows,7.0,Taika Waititi,Jemaine Clement,Taika Waititi,"Comedy, Horror","In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown."
Wildling,4.1,Liv Tyler,Brad Dourif,Bel Powley,"Drama, Fantasy, Horror","Viago, Deacon, and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
The Shallows,6.5,Blake Lively,Óscar Jaenada,Angelo Josue Lozano Corzo,"Drama, Horror, Thriller",A blossoming teenager uncovers the dark secret behind her traumatic childhood.
Superstition,5.2,Morgana Van Peebles,Robinne Lee,Demetria McKinney,"Drama, Horror, Mystery","The supernatural drama centers around the Hastings family, owners of the only funeral home in the mysterious town of La Rochelle, Georgia. The family also acts as the keepers of the town's dark secrets and history."
