Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis 
The Haunting of Whaley House,5.5,Alex Arleo,Arielle Brachfeld,Graham Denman,Horror,"The Tough Titty is a strip club that's seen better days. Spider has been losing money on his business for years. Now it's finally getting the traffic he's always wanted... unfortunately, most of his patrons are undead."
Hansel vs. Gretel,6.6,Brent Lydic,Lili Baross,Aqueela Zoll,Horror,"After a devastating boat crash, a group of friends are stranded on an uncharted island where they encounter an ancient tribe of humanoid creatures."
It!,4.8,Roddy McDowall,Jill Haworth,Paul Maxwell,"Horror, Sci-Fi","A small town is terrorized by an unknown stranger who kidnaps and abuses little girls. When her only child is kidnapped right in front of her, the schoolbus driver begins the desperate ..."
Hellboy Animated: Sword of Storms,6.3,Tad Stones,Ron Perlman,Selma Blair,"Animation, Action, Adventure",»
Lake Fear,6.4,Joshua Winch,Shanon Snedden,Taylor LeeAnn Graham,"Comedy, Horror","A paranormal investigator, trapped in a haunted skyscraper on Christmas Eve. The skeptical young woman, Georgette Dubois, is horrified once confronted with the reality of the supernatural. ..."
Dark Woods,6.4,Bjørn Floberg,Kristoffer Joner,Eva Röse,"Adventure, Horror, Mystery",»
Curse of the Blair Witch,3.4,Eduardo Sánchez,Frank Pastor,Rachel Braaten,"Short, Horror, Thriller",A film crew ventures into the forest in search of the mythical 'Jersey Devil'.
Urotsukidoji: Legend of the Overfiend,4.9,Sonny Weil,Bick Balse,Herb Hummel,"Animation, Fantasy, Horror","While searching for their estranged mother, two beautiful sisters, Dagmar and Ursula, arrive at a luxurious seaside hotel. At the same time, a mysterious killer starts murdering promiscuous women in the area."
Shark Attack,5.3,Cordell McQueen,Casper Van Dien,Chris Olley,"Horror, Action",After a tragic accident Grace is lost and alone in the Smoky Mountains. Grace's struggle for survival is made more complicated by her troubled past. Battling the demons in her mind may be the only way to come out alive.
One More Minute,5.6,Chantal Contouri,Robert Bruning,Sigrid Thornton,"Horror, Drama, Thriller",Based on a true story. Involving Sasquatch.
Eden Log,8.2,Clovis Cornillac,Vimala Pons,Zohar Wexler,"Horror, Mystery, Sci-Fi","Scientist Adam Brake and his son Matthew arrive in the sleepy English village of Milbury to find it under the grip of weird psychic powers unleashed by the sinister village squire, Hendrick..."
The Rape of the Vampire,6.4,Solange Pradel,Bernard Letrou,Ariane Sapriel,Horror,»
Whore,2.9,Rudy Claes,Kenneth Falkenberg,Cassandra Jacobsen,"Comedy, Horror, Thriller","Rikke is writing a new book and needs to get get out to the countryside to get some inspiration. She visits her deceased mother's old cabin in a local community called ""Dokka"", where she ..."
21 Days,4.6,Max Hambleton,Whitney Rose Pynn,Mickey River,"Horror, Thriller",»
The Eight Immortals Restaurant: The Untold Story,7.0,Herman Yau,Anthony Chau-Sang Wong,Danny Lee,"Comedy, Crime, Horror","Three filmmakers embark on a paranormal challenge by barricading themselves in a house so haunted, no one has been able to live in for more than 21 days."
Red Canyon,3.8,Christine Lakin,Tim Draxl,Katie Maguire,"Action, Horror, Thriller","Cops investigate a criminal running an unsuspecting restaurant, while trying to trace the steps back to how he ended up running it suddenly."
Necrophobia 3D,4.3,Luis Machín,Raúl Taibo,Viviana Saccone,"Horror, Mystery, Thriller","In Red Canyon, Regina and Devon return to their family home in the badlands of Utah to face the memory of a brutal attack - and put it behind them. But in coming home they awaken a killing ..."
The Legend of Sleepy Hollow,6.4,Jeff Goldblum,Paul Sand,Meg Foster,"Comedy, Fantasy, Horror",»
The Crater Lake Monster,3.2,Richard Cardella,Glen Roberts,Mark Siegel,Horror,"Dante is a tailor who after losing his twin brother to death became phobic which prevents him from being in contact with death. Whenever he is in front of a dead body, he experiences a creepy feeling that makes him lose his mind."
The Runestone,5.0,Peter Riegert,Joan Severance,William Hickey,"Adventure, Comedy, Fantasy","Angered that Katrina has grown fond of schoolmaster Crane, Brom Bones determines to scare off the interloper by filling his head with spooky tales of a Headless Horseman. Crane disparages ..."
Red: Werewolf Hunter,4.4,Felicia Day,Kavan Smith,Stephen McHattie,"Fantasy, Horror",»
The Encounter,6.6,Laura Fraser,Vincent Regan,Alice Lowe,"Horror, Sci-Fi","A meteor that crashed into Oregon's Crater Lake unearths a dinosaur egg. The heat from the meteor causes the egg to hatch, and the emerging dinosaur takes to snacking on the locals."
Scared Stiff,5.0,Dean Martin,Jerry Lewis,Lizabeth Scott,"Comedy, Horror, Musical","A Norse runestone is discovered in Western Pennsylvania. The prophecy upon it tells of the Norse great wolf Fenrir (Fenris), and that its release from the stone will bring about Ragnarok --..."
Don't Make A Sound,3.5,Danny Murphy,Jasper Wolfe Fitzgerald,Kelly Murphy,"Short, Horror",»
Encounter with the Unknown,2.5,Rod Serling,Robert Ginnaven,Gary Brockette,"Horror, Mystery","The modern-day descendant of Little Red Riding Hood brings her fiancé home to meet her family and reveal their occupation as werewolf hunters, but after he is bitten by a werewolf, she must protect him from her own family."
Monster Island,4.7,Carmen Electra,Daniel Letterle,Mary Elizabeth Winstead,"Adventure, Comedy, Horror","A year after the mysterious disappearance of an 8 year-old girl, we meet her grieving family as they return home from her memorial service in their small town. Later that evening, strange ..."
Killjoy,3.9,Ángel Vargas,Vera Yell,Lee Marks,"Fantasy, Horror",»
Moonshine Meat Market Mayhem,6.7,Cory Werthen,James D. Pruitt,Kevin A. Green,"Action, Adult, Comedy","Fleeing a murder charge, a busboy and a nightclub singer wind up on a spooky Caribbean island inherited by an heiress."
Robert and the Toymaker,8.0,Lee Bane,Erick Hayden,Jo Weil,Horror,
Triassic World,4.8,Paulina Laurant,Joel Berti,Joseph Michael Harris,"Action, Horror, Sci-Fi",
4bia,4.3,Paween Purikitpanya,Yongyoot Thongkongtoon,Parkpoom Wongpoom,"Drama, Horror, Mystery","Three eerie tales based on actual events are enacted in this film. First, three college students play a prank on a geeky classmate, who is accidentally shot and killed. His vengeful mother ..."
The Nightmare Gallery,3.1,Amber Benson,Kevin Chamberlin,Mat Devine,"Drama, Horror, Thriller",»
Do You See Me,7.4,Sarah Agor,Lisa London,Philip Boyd,Horror,Six friends win a vacation to the Bermuda Triangle and become trapped with only an MTV Crew to help keep them alive. They have to rescue Carmen Electra escape while they all battle the monsters on Monster Island.
Evil Bong 2: King Bong,2.6,Brett Chukerman,Sonny Carl Davis,Mitch Eakins,"Adventure, Comedy, Horror",Three youngsters encounter an evil clown.
Alien vs. Ninja,3.5,Masanori Mimoto,Shûji Kashiwabara,Donpei Tsuchihira,"Action, Comedy, Fantasy",The film takes place in the not so distant future where the water is no longer drinkable and doing so would result in immediate death. Those that are punished to still be alive are riddled ...
Welcome Home Brother Charles,6.1,Marlo Monte,Reatha Grey,Stan Kamber,"Action, Drama, Horror",»
Ssshhh... Koi Hain,4.8,K.K. Goswami,Reshma Khan,Jiten Lalwani,"Action, Fantasy, Horror","In Germany, 1941, the Nazis pursue a Toymaker who has acquired a mystical book which gives life to inanimate objects."
Grizzly Rage,6.4,Tyler Hoechlin,Graham Kosakoski,Brody Harms,"Action, Adventure, Horror",Dinosaurs are being used to grow human organs for transplants. But the scientists that created them have to fight back when the creatures escape.
A Demon Within,4.8,Justin LaReau,Charlene Amoia,Clint Hummel,Horror,"4BIA is a Horror Anthology. The first segment, ""Happiness"" is about a lonely girl who corresponded with a stranger over hand phone text messaging and soon discovered something strange about..."
Shiver,4.7,Junio Valverde,Francesc Orella,Mar Sodupe,"Horror, Thriller",»
Ghostmates,5.0,Ian Hecox,Anthony Padilla,Francesca Galassi,"Comedy, Fantasy, Horror","An anthropology professor's obsession with a paranormal mystery threatens her job, marriage, and sanity as she fights to find a missing student."
Chasing Sleep,3.4,Jeff Daniels,Molly Price,Ben Shenkman,"Horror, Mystery, Thriller",Emily is being stalked by a rogue clown. He's everywhere...including her closet.
Pig Hunt,3.6,Travis Aaron Wade,Tina Huang,Howard Johnson Jr.,"Action, Horror, Thriller","Stoners Larnell, Brett, and Bachman all suffer from severe delayed side effects from smoking grass from evil bong Ebee. The trio embark on a journey to the jungle in South America along ..."
Unhinged,4.3,Mickey Rourke,Nathan Reid,Larry Fessenden,Horror,»
Headspace,4.5,Christopher Denham,Sean Young,Anita Hassanandani Reddy,"Horror, Mystery, Sci-Fi",A comet crashes into a Japanese forest and a group of mighty ninjas must fight a group of killer Aliens before they reach their village and kill everyone.
Krishna Cottage,5.0,Sohail Khan,Isha Koppikar,Josh Hammond,"Drama, Horror, Mystery","A proud black man does time in jail where he is subjected to heinous experiments. Once released, he goes about extracting vengeance on those who put him in prison. This includes both ..."
Piranha Sharks,4.0,Collin Galyean,Ramona Mallory,Sanford Mitchell,"Comedy, Horror",»
Containment Breach: Run,5.5,Andrew Tribolini,Aaron McKee,Megumi Kawashima,"Short, Horror",A non hosted horror anthology series.
The Corpse Grinders,3.1,Sean Kenney,Monika Kelly,Nasir Bilal Khan,"Comedy, Horror","After accidentally killing a bear cub while celebrating graduation in the woods, four teens become the target of a seemingly unstoppable Grizzly."
Entrails of a Virgin,6.2,Saeko Kizuki,Naomi Hagio,John Harper,"Horror, Sci-Fi","A skeptical, small town doctor is forced to confront his personal demons in order to save the life of a teenage girl who has become possessed in his family's old house."
Munafik 2,8.9,Syamsul Yusof,Maya Karin,Austin Scott,Horror,"Santi, a young high-school student with a serious physical reaction to sunlight, is forced by his health to move with his single mother to a shadowy, isolated village in the mountains of ..."
Killer Crocodile,4.0,Richard Anthony Crenna,Pietro Genuardi,Marilyn Sheriff,Horror,»
They Found Hell,2.6,Chris Schellenger,Katy Reece,Robert D. Donohoe,"Adventure, Fantasy, Horror",A down-on-his-luck man must help a self-absorbed ghost finish his last request so he can ascend to Heaven.
And Then There Were None 2017,4.9,Fahad Olayan,James Balsamo,Val Kilmer,"Horror, Thriller","A college professor wakes up to find his wife has not returned home, then struggles to understand her disappearance."
Puti,4.2,Ian Veneracion,Jasmine Curtis,Lauren Young,"Drama, Horror, Mystery","A psychological thriller about a counterfeit painter who figures in a freak car accident that renders him color blind; while recuperating, strange things start happening to him."
Hotel Inferno 2: The Cathedral of Pain,7.3,Tiziana Machella,Rayner Bourton,Roland Stone,"Action, Horror","You, Frank Zimosa, are dead - brutally killed by the Mistandrian Cultists and trapped in the nightmarish Hotel Inferno: a special layer of Hell where demons co-exist with cultists, ..."
Successive Slidings of Pleasure,6.3,Anicée Alvina,Olga Georges-Picot,Michael Lonsdale,"Fantasy, Horror, Thriller",»
Night of the Werewolf,6.1,Paul Naschy,Julia Saly,Silvia Aguilar,Horror,"A young woman is questioned by the police and the judges, suspected of being a modern witch. The girl who shared her apartment has been found dead, and a pair of scissors impaled through ..."
Hellraiser,5.1,Leigh Scott,Eliza Swenson,Eliza Swenson,Horror,»
The Penny Dreadful Picture Show,5.7,Marta Castellote,Xoel Fernández,Eva García-Vacas,Horror,"An evil witch brings back to life the infamous Elizabeth Bathory, who was executed several hundred years previously for murdering young woman and bathing in their blood."
La cueva,3.9,John Ashley,Pat Woodell,Jan Merlin,"Horror, Thriller","27 years after the incident with Frank and Julia in the cotton home, Kirsty Cotten returns home to attend a funeral of a close friend. During these strange events, her daughter is being ..."
The Twilight People,2.5,Tina Krause,DeShon Hardy,Alan Bendich,"Adventure, Horror, Sci-Fi",»
The Lake on Clinton Road,6.5,Tanapol Kamkunkam,Thidarat Kongkaew,Natpatson Lhakkum,Horror,"Daffy undead gal Penny Dreadful, her smitten zombie buddy Ned, and lycanthrope Wolfboy relate three tales of terror in an old rundown movie theater: A young couple find themselves being ..."
The Forest,6.3,Akshay Oberoi,Parvathy Omanakuttan,Arunoday Singh,"Drama, Fantasy, Horror",»
Pizza,6.2,Lon Chaney Jr.,Robert Paige,Louise Allbritton,Horror,"Five friends go unannounced on a vacation. Soon they discover a cave entrance, which they decide to explore."
Son of Dracula,3.1,William Miller,Irene Montalà,Paulina Gálvez,"Fantasy, Horror","A kidnapped diver is taken to an island inhabited by a mad scientist and his half-animal, half-human creations."
Rottweiler,5.6,Robin Strasser,John Beal,Arthur Roberts,"Action, Horror, Sci-Fi","When six friends from Massachusetts travel to the Jersey shore, they end up on Clinton road at a house on a lake. They're not alone, and one by one they disappear. Who will survive?"
The Bride,4.4,Catherine Delaloye,Greg Burridge,Muzzy Tahir,"Horror, Thriller",A new teacher arrives at a small village in rural Thailand. He has just left the monkhood and has taken a job at the local school in a quest to discover life outside the monastery. He finds...
Welcome to Essex,5.0,Sakurako Kaoru,Natsumi Mitsu,Masanori Miyamoto,Horror,»
Sexual Parasite: Killer Pussy,6.1,Synnøve Macody Lund,Ebba Steenstrup Såheim,Ken Vedsegaard,"Comedy, Horror",A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?
Haunted,4.6,Oxide Chun Pang,Angelica Lee,Soi Cheang,"Crime, Drama, Horror","Count Alucard finds his way from Budapest to the swamps of the Deep South; his four nemeses are a medical doctor, a university professor, a jilted fiancé and the woman he loves."
Re-cycle,7.1,Stephen Moyer,Mia Kirshner,Allie MacDonald,"Fantasy, Horror, Mystery","Dante travels across a desolate, futuristic Spain in search of his girlfriend, Ula. He is pursued by a bloodthirsty, cybernetic Rottweiler."
The Barrens,3.1,Christian Oliver,Les Brandt,Cary-Hiroyuki Tagawa,Horror,The neurotic and newlywed Barbara (Robin Strasser) finds her husband (Arthur Roberts) in bed with his old flame Eva (Iva Jean Saraceni). Robin doesn't get mad-she gets even. Using funds ...
Five Nights at Freddy's 4: The Final Chapter,3.9,John Bishop,Kirk Bovill,Ryan Doom,"Horror, Mystery, Thriller",»
Ninja Apocalypse,7.3,Gwen Watford,Patrick Allen,Felix Aylmer,"Action, Fantasy, Horror",A small group of mismatched survivors of a zombie apocalypse try to escape to a rumoured rescue point on the Essex coast.
Circle of Eight,3.1,Patrick Muldoon,Vanessa Williams,Thomas Calabro,"Horror, Mystery",Five teenagers enter a deserted jungle and trespass inside an abandoned house only to haunted by a woman with a monster hidden inside her reproductive organs.
Never Take Sweets from a Stranger,6.7,Logan Miller,Kristine Froseth,Jolene Anderson,"Drama, Horror, Mystery","After her father's death Catherine travels back to her old family estate in winter time Norway. When locals start telling stories of disappearances and possible murders, she is forced to confront her family's mysterious past."
Ice Spiders,2.8,Abbi Chally,Strange Dave,Mellisa Chally,Horror,"After writing three best-sellers about love story based on her own experiences, the successful writer Tsui Ting-Yin is without inspiration and having difficulties to write her new novel in ..."
Prey,5.0,John Scott,Alice Lyon,Allan Laurel,"Horror, Thriller",»
The Smiling Man,5.8,William Smith,Michael Pataki,Lyn Peters,"Short, Horror, Thriller",A man takes his family on a camping trip and becomes convinced they are being stalked by the legendary monster of the New Jersey Pine Barrens: the Jersey Devil.
The Horror of Party Beach,6.1,Lon Chaney Jr.,Dick Foran,John Hubbard,"Horror, Musical","The old gang are back with a Animatronic named ""Fredbear aka ""Golden Freddy"""
Grave of the Vampire,3.2,Midori Fujita,Chôei Takahashi,Sanae Emi,Horror,"Framed for assassinating the Grandmaster, the Lost Ninja Clan must battle their way up an underground nuclear bunker filled with hordes of supernatural enemies, mutants and flesh eating ..."
The Mummy's Tomb,4.3,Clayton Rohner,Faith Ford,Max Perlich,"Drama, Fantasy, Horror",»
Lake of Dracula,4.0,Russell Ferrier,Robyn Ledoux,Nic Rhind,Horror,"Jessica moves into a loft on the eighth floor of a Los Angeles apartment building called The Dante. The other tenants all seem friendly at first, but when she starts witnessing horrible ..."
Sometimes They Come Back... for More,2.8,George Kennedy,Alex Cord,Clu Gulager,Horror,»
Scourge,5.9,Caylee Cowan,Patrick Scott Lewis,Katie Lowes,"Horror, Mystery, Sci-Fi",Peter Carter meets official resistance when he finds his 9 year old daughter has been the victim of the pedophile patriarch of the town's most powerful family.
Uninvited,6.9,Brendan Michael Coughlin,Colleen Porch,Aiden Kersh,"Horror, Sci-Fi","When a young ski team training for the Olympics arrives at the remote and isolated Lost Mountain Ski Resort to focus on training, they're thrilled to find a retired Olympic skier is there ..."
The Witching Hours,5.1,Amar Singh Kaleka,Betta St. John,Mandy Miller,Horror,»
Bear,4.3,Peter van Eyck,Walter Jackson,Chris Peterson,"Horror, Thriller","To help rehabilitate a high school senior for behavioral issues, he is placed on a uninhabited island, but soon finds he is not alone. Being discovered could prove deadly."
Baby Blues,2.2,Martin Dukes,Yûya Ishikawa,Wani Kansai,"Drama, Horror, Thriller",A little girl home alone finds herself face-to-face with pure evil.
The Snorkel,1.7,Asami,Carly Craig,Nicky Whelan,"Crime, Horror, Mystery",Sea creatures created from radioactive sludge terrorize a beach community.
The Vampire Raiders,3.9,Kevin P. Farley,Peter Whittaker,Kitty Kamieniecki,"Action, Horror","Kroft, a legendary vampire, returns from sleep. Kroft attacks a couple in a graveyard, raping the woman. The child born feeds only on blood from his mother's breast."
Horny House of Horror,3.1,Dan Desmarais,Chris Jericho,Richard Christy,"Comedy, Horror",A high priest travels to America with a living mummy to kill those who had desecrated the tomb of an Egyptian princess thirty years earlier.
Paranormal Movie,5.8,Tammin Sursok,Rib Hillis,Amy Holt,"Comedy, Horror",A doctor investigates the murders of several women at a lakeside resort. His investigation leads him to believe that a vampire is responsible for the murders. He sets out to track the vampire down.
Raiders of the Lost Shark,4.2,David Carradine,Kentarô Shimazu,Takamasa Suga,"Action, Horror, Sci-Fi","On a arctic circle radio shack, an ancient evil lurks, ready to strike at a psychologist, an army man and their collective forces."
Albino Farm,5.6,Rina Takeda,Daniel Allen Kent,Justus Zimmerman,Horror,"An ancient pestilence called The Scourge has been set free in a small town after being entombed in a church's masonry for a century and a half. As bodies rapidly pile up, nothing stands ..."
Dinocroc vs. Supergator,7.8,Stephanie Edmonds,Mark Stevenson,Antonia Beamish,"Action, Horror, Sci-Fi",»
Dead Sushi,5.4,Kevin Howarth,Christopher Lee,Leo Genn,"Action, Comedy, Horror","A sinister corporation loses control of a house cat infected with a genetically engineered virus. The death toll rises during the mutant feline's rampage and, eventually, it finds its way on board the yacht of a criminal kingpin."
SafeWord,6.3,Sanjeeda Sheikh,George Ardisson,Halina Zalewska,"Horror, Thriller","Stranded in the middle of the Los Angeles National Forest during the witching hours, a young girl encounters a Satanic cult and upon rescuing a child from their clutches, plunges headlong into a night of terror."
The Last Horror Movie,2.8,John Llewellyn Moxey,John Schneider,Bruce Davison,"Horror, Thriller","Two young couples are driving through a remote forest when their car breaks down. When a run-in with a curious grizzly bear ends up with the bear being shot to death, the bear's mate ..."
"Little Gay Boy, chrisT is Dead",5.3,Amaury Grisel,Gaëtan Vettier,Amanda Dawson,"Short, Drama, Horror","Jean Christophe lives with his mother, an English prostitute in Paris. He dreams of becoming a model. Over the course of a day, JC endures a series of abusive encounters that will change ..."
Unaware,4.5,Robert Cooley,Lynn Banashek,Sean Masterson,"Horror, Sci-Fi, Thriller",»
Fatal Games,4.9,Sally Kirkland,Kane Hodder,J.D. Hart,"Horror, Sport","In July 2010, a vacationing couple discovered something disturbing on a ranch in rural Texas. Armed with a home camcorder, they captured their experience on video."
The Afflicted,4.6,Leslie Easterbrook,Linden Ashby,Debra Feuer,"Horror, Thriller",A mad javelin thrower kills teenagers in the school. All promising athletes are executed in the most brutal way. Especially naked girls in dressing-rooms or saunas.
Night Angel,4.5,Isa Jank,Dr. Michael Blum,Bobby Corrigan,Horror,"A story of incomprehensible abuse delivered by an explosively violent mother of four. Journey through the mind of a child that experiences a living hell, defined and defended by the twisted religious beliefs of her mother."
Rats,6.5,Ed Sheehan,Mandy Perryment,Richard Ridings,"Documentary, Horror","An evil spirit assumes the disguise of a beautiful young woman, so it can seduce and kill men."
Liquid Television,8.1,William Waghorn,Mia Blake,David Fane,"Animation, Comedy, Crime",A history of rat infestations in major cities throughout the world.
The Tattooist,5.1,Jason Behr,Yuri Lowenthal,Larry Herron,"Horror, Thriller","MTV's classic, surreal, experimental, grotesque, macabre and darkly humorous animation anthology featuring both serialized and one-off segments. The show also features music videos and rare live action and puppet segments."
Sunset Overdrive,8.1,Stephanie Lemelin,Julián Alfonzo,Rodrigo Bianco,"Action, Adventure, Comedy","A young artist unknowingly plays a role in releasing a deadly spirit as he attempts to learn tatau, the Samoan tradition of tattooing."
Snuff 102,3.9,Andrea Alfonso,Ben Piazza,Susan Sennett,"Horror, Thriller","Set in 2027, a corrupt Corporation known as FizzCo has released a new energy called Delrium Overcharge XT."
The Candy Snatchers,6.5,Tiffany Bolling,Hermione Corfield,Jay Gallagher,"Crime, Horror, Thriller",Why being moral... If we can be anonymous.
Sea Fever,8.0,Toni Collette,Bianca Bradey,Dennis Castillo,"Horror, Sci-Fi","Abused mute autistic boy is the only one who can help a teenage heiress kidnapped, tortured, raped and buried alive by three young psychopathic criminals who want to extort some diamonds from her rich scummy stepfather."
Wyrmwood: Chronicles of the Dead - Teaser,6.0,Nandalie Campbell Killick,Kristen Jensen,Paul McComiskey,"Short, Action, Horror","The crew of a West of Ireland trawler, marooned at sea, struggle for their lives against a growing parasite in their water supply."
Sounds of Silence,4.0,Peter Nelson,Madeline Brumby,Craig Conway,Horror,Watch the first six gore-soaked minutes from the new zombie series.
Dear God No!,4.7,Jett Bryant,Morjana Alaoui,Carly Pope,"Comedy, Horror",A family in Los Angeles receives the news that they have inherited a mansion in Sweden. The family decides to take a trip to see their new property. There used to be a children's home right...
The Hybrid,5.4,John Lynch,Brenna O'Brien,Mario Escalante,"Horror, Sci-Fi",»
Beneath,4.0,Nora Zehetner,Michel Chauvet,Amanda Howell,"Horror, Mystery, Thriller",A gang of outlaw bikers pull a home invasion on a disgraced Anthropologist hiding a secret locked in his cabin basement.
Archivo 253,3.4,Anna Cetti,Richard Hatch,Lloyd Bochner,Horror,"An elite team of mercenaries is hired for a covert operation, deep inside a former Soviet state. Arriving at an underground laboratory, their mission is to secure specimens of genetically ..."
Asylum of Darkness,6.7,Nick Baldasare,Paul Burke,Janice Logan,Horror,»
Crowhaven Farm,6.5,Hope Lange,Thomas Coley,Samuel Freeman,"Drama, Horror","Christy (Zehetner) returns to her hometown years after a car accident that disfigured her older sister. Haunted by the accident in which she was the driver, she learns that her worst nightmares have either come true ... or are about to."
Dr. Cyclops,1.7,Albert Dekker,Megan Purvis,Federico Cavalli,"Adventure, Drama, Horror",A group of amateur paranormal investigators enter an abandoned insane asylum to discover if the stories they have heard are actually true.
The Young Cannibals,4.5,Sam Fowler,Richard Lynch,Morven Macbeth,"Horror, Thriller","After awakening in a mental asylum, a patient plans an escape to freedom, but finds an even more disturbing, supernatural world on the outside, one that threatens to keep him trapped in madness forever."
Werewolf,6.6,Jorge Rivero,Anna Walton,Wilson Gonzalez,Horror,"A young couple inherits a farm. Hoping that the rural location might help to patch up their strained marriage, they move into it, only to be confronted by the supernatural forces that inhabit it."
Vampire Diary,6.6,Phil O'Shea,Sina Tkotsch,Lorna Pettifer,"Drama, Fantasy, Horror",A mad scientist working in the South American jungle miniaturizes his colleagues when he feels his megalomania is threatened.
The Nightmare,5.6,Carolyn Genzkow,Ryan Gibson,Arthur Kennedy,"Drama, Horror, Mystery",Seven friends summon a monster when they are tricked into eating burgers made of human flesh.
Stygian,5.9,Shannon Young,Mel Ferrer,David Elliott,Horror,Unscrupulous archaeologists try to take advantage of an outbreak of lycanthropy prompted by the discovery of a werewolf skeleton in the Arizona desert.
The Antichrist,4.6,Carla Gravina,Perry King,Zalman King,"Drama, Horror","Whilst making a documentary, filmmaker Holly meets the highly enigmatic and beautiful Vicki who claims she is a real-life vampire. By turns fascinated by and attracted to her, Holly thinks ..."
The Possession of Joel Delaney,4.5,Shirley MacLaine,Dita Von Teese,Rod Steiger,"Drama, Horror, Thriller",»
Saint Francis,4.4,Charles Koutris,Natasha Gregson Wagner,Richard Olak,Horror,"After attending a rave party, a teenage girl forms a bond with a strange monster as she suffers a slow chaotic mental breakdown."
Modern Vampires,2.9,Casper Van Dien,Amber Lewis,Robert Davi,"Comedy, Horror, Romance","Jamie and Melinda, a young couple find themselves trapped in another world known as Exile. Jamie must seek out Melinda in this new world."
Skew,7.6,Rob Scattergood,Luke Goss,Anna Elizabeth James,"Horror, Thriller",A paralyzed young woman becomes possessed by the Devil when a hypnosis session - intended to heal her disability - accidentally awakens memories of her past life as a witch.
Lost Time,5.4,Rochelle Vallese,Martha Goddard,Nick Carter,"Horror, Sci-Fi, Thriller",A woman begins to suspect that her brother is possessed by a voodoo spirit.
7 from Etheria,6.4,Arantxa Echevarria,Jeannetta Arnette,Chiaki Kuriyama,Horror,"Francis, the son of a corrupt TV preacher, tumbles down a hallucinatory rabbit-hole of sex, drugs, aliens, fratricide, and planetary apocalypse in this twisted take on the life of Saint Francis."
The Redeemer: Son of Satan!,3.9,Damien Knight,Tony Salerno,Victoria Morrison,Horror,A borderline fascistic Dr. Van Helsing unwittingly hires crack smoking gang-bangers to pursue the decadent vampires who secretly control Hollywood and the United States.
Exte: Hair Extensions,5.7,Joe DiGiorgi,Mark Paul Wake,Virginia Christine,"Comedy, Horror","When Simon, Rich, and Eva head out on an eagerly anticipated road trip, they bring along a video camera to record their journey. What starts out as a carefree adventure slowly becomes a ..."
Plan Z,2.2,Stuart Brennan,Peter Coe,Gregorio Sala,Horror,»
The Mummy's Curse,2.8,Lon Chaney Jr.,Leigh Drake,Ray Whelan,"Fantasy, Horror, Thriller","After leaving a doctor visit with the worst news, Valerie Dreyfuss and her sister Melissa come to a stop on a lonely stretch of road. Their car is engulfed by a blinding light....12 hours ..."
Track of the Moon Beast,2.2,Chase Cordell,Tim Faraday,Noah Gray-Cabey,"Horror, Sci-Fi",»
Are We Dead Yet,4.5,Jessica-Jane Stafford,Juliette Goglia,Kiera Crouch,Horror,"Etheria is the world's most respected showcase of the best new horror, comedy, science fiction, fantasy, action, and thriller films made by emerging women directors."
Fog City,4.0,Luke Benward,Greg Bronson,Lara Baum,"Horror, Thriller","Six people are trapped within the confines of their old high school during their 10th high school reunion with a psychotic, masked preacher who kills them off for their sinful lives they have made for themselves."
Cowboy Zombies,2.5,Jarod Anderson,Kristiana Rohder,Peter Stickles,Horror,About hair extensions that attack the women that wear them.
Cannibal Diner,7.6,Alexandra Lesch,Brian Nolan,Brendan Price,"Horror, Mystery, Thriller","One man has a plan for a zombie outbreak, when one occurs it will take all his will to stick to it and all of his courage to change it."
The Lair,1.8,Colton Ford,Michael Landes,Lynn Csontos,"Drama, Horror, Mystery","An irrigation project in the rural bayous of Louisiana unearths living mummy Kharis, who was buried in quicksand twenty-five years earlier."
11-11-11,4.9,Timothy Gibbs,Chloe Bear,Karen Irwin,"Horror, Mystery, Thriller","A young man is transformed into a hideous ""moon beast"" due to a meteor fragment lodged in his body."
American Conjuring,4.1,Dan Zachary,Bryan J. Howard,Steve Hanks,Horror,A robbery goes horrifyingly wrong when five have a go criminals are forced to take refuge from the police in an old castle. What starts out as 'one last job' quickly becomes a hilarious fun filled journey of ghostly misfortunes.
The Laplace's Demon,6.6,Silvano Bertolin,Ferdinando D'Urbano,Duccio Giulivi,"Horror, Mystery, Sci-Fi","A glass in free fall. Have you ever thought if it is possible to calculate into how many pieces it can break into? After numerous experiments, a team of researchers succeeds in doing just ..."
The Hollow,4.5,Kevin Zegers,Kaley Cuoco,Nick Carter,"Fantasy, Horror, Thriller",»
In a Dark Place,4.4,Leelee Sobieski,Tara Fitzgerald,Christian Olson,"Horror, Thriller","Restless spirits stir this Hollow's Eve, beckoning Ian Cranston, the last blood relative of Ichabod Crane, back to Sleepy Hollow. Thundering hooves unleash a wave of bone-chilling screams ..."
Grizzly Park,4.1,Glenn Morshower,Shedrack Anderson III,Susan Blakely,"Comedy, Horror",»
Children of the Night,4.5,Karen Black,Peter DeLuise,Ami Dolenz,Horror,"The disturbed arts teacher, Anna Veigh, is hired by Mr. Laing as a governess to raise Flora and her brother Miles. Anna believes that the ghosts of the former governess, Miss Jessel, and ..."
